,date,tweet,dirty_tweet
59,2019-03-20 15:08:34,Playing this song in the car on the way back from a busy day at work Loved the mask Though we should put in the dimples next time,"Playing this song in the car on the way back from a busy day at work... Loved the @marshmellomusic mask. Though we should put in the dimples next time. 

https://t.co/nlStXX1cvL"
60,2019-03-20 08:56:26,EXCELLENCE is the unlimited ability to improve the quality of what u have to offer You all r Excellence personified,EXCELLENCE is the unlimited ability to improve the quality of what u have to offer. You all r Excellence personified https://t.co/BsmUKnZg0R
61,2019-03-18 07:52:50,Can t thank u enough for being part of Bard our first series on Netflix It wouldn t be possible without u Love I,"Can’t thank u enough for being part of Bard, our first series on Netflix.  It wouldn’t be possible without u. Love I https://t.co/r0iaeR9vlr"
62,2019-03-18 07:34:56,Three coins one old box and tons of clues to solve Wonder what my next challenge will be Catch the action and find out more on BeMyGuest,"Three coins, one old box and tons of clues to solve. Wonder what my next challenge will be? @visitdubai 

Catch the action and find out more on https://t.co/nBpJTAVmit #BeMyGuest https://t.co/Rs8FmQIMKO"
63,2019-03-18 06:44:01,You pray for us we play for you Let s be in it together Aakhri Dum Tak Aakhri Run Tak KKRHaiTaiyaar,"“You pray for us, we play for you” 
Let's be in it together, Aakhri Dum Tak Aakhri Run Tak. 

https://t.co/hDfglxXYMh

#KKRHaiTaiyaar @kkriders"
64,2019-03-15 07:40:53,So glad people are loving Badla A big thanks to the audiences who gave a warm welcome to the film,So glad people are loving #Badla. A big thanks to the audiences who gave a warm welcome to the film! https://t.co/SkDConVF0C
65,2019-03-14 12:58:39,Wondering could this be the cloud that stores my data,Wondering...could this be the cloud that stores my data??! https://t.co/xHcq38SmUz
66,2019-03-14 08:55:40,Let s come forward and change this,Let’s come forward and change this!  https://t.co/rVXxtidnRb
67,2019-03-11 12:49:20,Should I just let the hair grow for another few months,Should I just let the hair grow for another few months??! https://t.co/4udXMXZXtJ
68,2019-03-11 12:46:39,Pray we do this right and good,Pray we do this right and good.  https://t.co/WeYnr8yQAf
69,2019-03-11 12:45:26,Will surely listen to the the music u are listening to my man Will send u some Indian music too Love to you amp health and life Forever and more to you,Will surely listen to the the music u are listening to my man. Will send u some Indian music too. Love to you &amp; health and life Forever and more to you https://t.co/iAmPIb6sa7
70,2019-03-09 10:31:17,All these young boys amp girls dancing to my songs make me look better How sweet is this,All these young boys &amp; girls dancing to my songs make me look better! How sweet is this.  https://t.co/7lqHCXWG2A
71,2019-03-09 07:15:44,Thank you for giving Badla a warm welcome Here s a parting gift as we say goodbye to the series Dekhiye BadlaUnpluggedEp3 aur di jiye jawab mere paheli ka to win an autographed Badla poster g,"Thank you for giving #Badla a warm welcome! Here's a parting gift as we say goodbye to the series!

Dekhiye #BadlaUnpluggedEp3 aur di jiye jawab mere paheli ka to win an autographed #Badla poster.

https://t.co/13lmgfmjLy

@Srbachchan @taapsee @sujoy_g @redchilliesent @iamazure"
