,date,tweet,dirty_tweet
148,2018-12-15 11:45:19,Yeh dekho Babita Kumari Jaisi humaari ek aur Bhabhi,Yeh dekho @BauuaSingh Babita Kumari Jaisi humaari ek aur Bhabhi. https://t.co/vdMHW1Svxq
149,2018-12-15 09:34:41,You are timeless,You are timeless!!  https://t.co/zJBRtB7CHZ
150,2018-12-15 09:28:14,chillin on Saturday with Husn Chips amp Angrezi fillum Bauua I am going to Uttar Pradesh thoda ghar ka khaana bhijwa dena Tell Ashok to bring it please and no selfies for him,"@BauuaSingh chillin’ on Saturday with Husn, Chips &amp; Angrezi fillum. Bauua I am going to Uttar Pradesh...thoda ghar ka khaana bhijwa dena. Tell Ashok to bring it please and no selfies for him!! https://t.co/IBfHds3ekr"
151,2018-12-15 05:36:25,Itni mushkil se saath aaye hain aise thodi na jaane denge 6DaysToZero New dialogue promo KatrinaKaif,"Itni mushkil se saath aaye hain, aise thodi na jaane denge! #6DaysToZero
New dialogue promo: 
https://t.co/kZA1gjVmpq

#KatrinaKaif @AnushkaSharma @aanandlrai @Mdzeeshanayyub @RedChilliesEnt @cypplOfficial"
152,2018-12-14 23:10:23,Bhai ne Phir Jiyra Chakna Choor kar diya Thank u Big Boss amp for a great evening starting with Zero love you all,Bhai ne Phir Jiyra Chakna Choor kar diya. Thank u Big Boss &amp; @BeingSalmanKhan for a great evening starting with #Zero love you all. https://t.co/Ch2lNFMI5p
153,2018-12-14 19:35:51,Thanks for having me on the show U r fun,Thanks for having me on the show. U r fun!  https://t.co/6vKpYQzYb4
154,2018-12-14 09:48:39,Launda na samajhna beta baap hain tumhare 1WeekToZero KatrinaKaif,"Launda na samajhna, beta baap hain tumhare! #1WeekToZero
https://t.co/TmCzLvHxCA

@anushkasharma #KatrinaKaif @aanandlrai @Mdzeeshanayyub @dirtigmanshu @RedChilliesEnt @cypplOfficial"
155,2018-12-14 08:42:55,God Bless you,God Bless you.  https://t.co/A0a7CQ2PXQ
156,2018-12-13 07:16:25,If you hit a wall climb over it crawl under it or dance on top of it Dance like Babita,"“If you hit a wall, climb over it, crawl under it, or dance on top of it.” Dance like Babita
 https://t.co/Ujqr2x3oLK"
157,2018-12-12 18:08:53,She is soooo hot in Husn Parcham that we have to keep her in a tub on the sets The Beautiful Babita HusnParcham,She is soooo hot in Husn Parcham that we have to keep her in a tub on the sets. The Beautiful  Babita. #HusnParcham https://t.co/UzcuxI9ssg
158,2018-12-12 16:42:50,Thank you so much for your rap and more Lots of love,Thank you so much for your rap and more. Lots of love https://t.co/JkMJz9r8Yt
159,2018-12-12 08:05:39,Deewano ki ye bheed ab na hogi kam Aa gayi hai Babita Kumari lehraane Husn Parcham The most sizzling song of the year HusnParcham out now KatrinaKaif kamil,"Deewano ki ye bheed ab na hogi kam,
Aa gayi hai Babita Kumari lehraane Husn Parcham!
The most sizzling song of the year #HusnParcham out now!

https://t.co/kgrcLJ72jV

#KatrinaKaif @anushkasharma @aanandlrai @Mdzeeshanayyub @BoscoMartis @ajayatulonline @irshad_kamil"
160,2018-12-11 10:03:54,Somebody asked me what Husn Parcham means Well it means announcement of ones beauty roughly Smoothly it means just this Song out tomorrow HusnParcham,Somebody asked me what Husn Parcham means. Well it means announcement of ones beauty...roughly. Smoothly it means just this...!!! Song out tomorrow...#HusnParcham https://t.co/idzR6i2Lbs
161,2018-12-11 08:25:39,How lovely is this girl Can t wait to show you all Husn Parcham let s just elect her in our hearts tomorrow,How lovely is this girl!! Can’t wait to show you all Husn Parcham...let’s just elect her in our hearts tomorrow. https://t.co/RYxcONYOHz
162,2018-12-10 06:39:40,Poore desh mein chakka jaam lag jayega Jab Babita Kumari ka HusnParcham lehrayega Stay tuned for the most sizzling song of the year releasing on December 12th KatrinaKaif kamil,"Poore desh mein chakka jaam lag jayega
Jab Babita Kumari ka #HusnParcham lehrayega.
Stay tuned for the most sizzling song of the year releasing on December 12th!

https://t.co/SQkPEdk7Dx

#KatrinaKaif @anushkasharma @aanandlrai @ajayatulonline @irshad_kamil @BoscoMartis https://t.co/buKGxKqYOr"
163,2018-12-08 14:57:42,Thank u for making Bauua digitally savvy BauuaOnAlexa,Thank u for making Bauua digitally savvy… #BauuaOnAlexa https://t.co/Jhm7MJNOMl
164,2018-12-08 14:04:27,Yeh lo Bauua is with Alexa now He and his attraction for girls,Yeh lo…Bauua is with Alexa now. He and his attraction for girls!!! https://t.co/fq8UZh41UG
165,2018-12-07 19:51:20,Masha Allah Thx Al Kout amp Cinescape for getting me to meet such beautiful people Ana Ahbak I love you Kuwait Ishqbaazi ho gayi Aap sab se Let s hear the song again,Masha Allah. Thx Al Kout &amp; Cinescape for getting me to meet such beautiful people. Ana Ahbak...I love you Kuwait. Ishqbaazi ho gayi Aap sab se. Let’s hear the song again... https://t.co/c3NANjdCJ7 https://t.co/exj1iMTR3o
166,2018-12-07 14:36:30,bhai autograph,"@BauuaSingh bhai एक फ़ोटो मेरे साथ भी डाल दो…autograph के साथ। और क़सम से, तुम्हारी साइन का ग़लत फ़ायदा नहीं लेंगे बैंक में!!"
167,2018-12-07 14:30:20,Love you Oman amp thanks for taking out time to see me Insha Allah will come back soon and give u all individual hugs Thx Vox Cinemas amp all the boys amp girls in Muscat,Love you Oman &amp; thanks for taking out time to see me. Insha Allah will come back soon and give u all individual hugs! Thx Vox Cinemas...&amp; all the boys &amp; girls in Muscat. https://t.co/aGvw4d9HwE
168,2018-12-07 10:26:11,Reaching reaching boys and girls Love u all,Reaching reaching boys and girls. Love u all https://t.co/xWqXXusQoB
169,2018-12-07 09:20:29,Of all the things I have done for Mere Naam Tu this is the sweetest My daughter teaching me to get the lyrics right on the sets Hope after she sees the song she approves,Of all the things I have done for Mere Naam Tu...this is the sweetest. My daughter teaching me to get the lyrics right on the sets. Hope after she sees the song she approves... https://t.co/qfQ2hhEF9F
170,2018-12-07 09:09:59,Thank you the lovely ladies at MBC trending for such warmth and the interview,Thank you the lovely ladies at MBC trending for such warmth and the interview.  https://t.co/Ceu2whhfIz
171,2018-12-07 09:06:01,So lovely The song really makes u want to fall in love,So lovely. The song really makes u want to fall in love.  https://t.co/kNlvBPDU3e
172,2018-12-07 08:49:50,Ek hi gaane mein main ghutnon par bhi gaya hoon aur hawa mein bhi udaa hoon One of the most beautiful experiences from the shoot Watch the making of Mere Naam Tu here 2WeeksToZero,"Ek hi gaane mein main ghutnon par bhi gaya hoon aur hawa mein bhi udaa hoon. 

One of the most beautiful experiences from the shoot.  

Watch the making of Mere Naam Tu here - https://t.co/pMhC7dnVqc

#2WeeksToZero

@anushkasharma @aanandlrai @AjayAtulOnline"
173,2018-12-06 19:09:06,,आज दुबई में गाना सही बैठ रहा है...सबका प्यार देखकर लगा..सच्ची में प्यार दीवाना होता है!!!@BauuaSingh https://t.co/ba40tcGb8W
174,2018-12-06 18:55:28,Thank u for making me a part of this awesomeness and especially thankful to everyone who is making Indian hockey so special,Thank u for making me a part of this awesomeness and especially thankful to everyone who is making Indian hockey so special... https://t.co/jbmuVZAPEh
175,2018-12-06 18:51:32,This much love for Zero only possible in Dubai Thanks Global Village for the 100 000 hearts beating for Bauua Aafia amp Babita Will convey ur Ishaqbaazi to them in India Love u Dubaiwaalon yeh dekho Bauua ki selfie,"This much love for #Zero , only possible in Dubai. Thanks Global Village for the 100,000 hearts beating for Bauua, Aafia &amp; Babita. Will convey ur #Ishaqbaazi to them in India. Love u Dubaiwaalon yeh dekho Bauua ki selfie! https://t.co/Os5S2VJBnc"
176,2018-12-05 14:54:14,,"वाह यार @BauuaSingh! जिस चाँद को चूमने के लिए दुनिया मरी जा रही है, उस @BeingSalmanKhan को तुम चूम आये! और तुम्हारा @BeingSalmanKhan वाला स्टेप देखकर तो मज़ा आ गया! गमछे वाला! https://t.co/AJGoZJeCmW"
177,2018-12-04 23:15:44,Thank u for the love amp leadership my Captain U r a special man and may Allah always keep amp happy amp u should smile a bit more,@GautamGambhir Thank u for the love &amp; leadership my Captain.U r a special man and may Allah always keep &amp; happy…&amp; u should smile a bit more
178,2018-12-04 09:08:59,Thank u bhai from our whole team at Zero Phir se aapka gaal choomne ka mann kar raha hai,Thank u bhai from our whole team at Zero. Phir se aapka gaal choomne ka mann kar raha hai!! https://t.co/Vy2FalolJY
179,2018-12-04 07:13:48,Akele chale the ishq ke safar par karne mehboob ko raazi dost aisa mila raah mein kar aaye Issaqbaazi IssaqbaaziOutNow KatrinaKaif kamil SukhwinderSingh,"Akele chale the ishq ke safar par, karne mehboob ko raazi, dost aisa mila raah mein, kar aaye Issaqbaazi.
#IssaqbaaziOutNow https://t.co/c3NANjdCJ7

@beingsalmankhan @anushkasharma #KatrinaKaif @aanandlrai @ajayatulonline @irshad_kamil #SukhwinderSingh @aslidivyakumar @remodsouza"
180,2018-12-03 05:26:38,RT Khabar mili hai abhi ye taazi aa rahe hain sikhaane sab hi ko Issaqbaazi Issaqbaazi song out tomorrow,"RT @RedChilliesEnt: Khabar mili hai abhi ye taazi, aa rahe hain @BauuaSingh sikhaane sab hi ko #Issaqbaazi.
#Issaqbaazi song out tomorrow!…"
181,2018-12-03 04:46:08,Kya baat hai badi ishqiyaana shayari ho rahi hai Mere saath reh kar asar ho raha hai lagta hai Aakhir ishq karna kuch kuch seekh hi gaye tum mujhse,"Kya baat hai @BauuaSingh, badi ishqiyaana shayari ho rahi hai? Mere saath reh kar asar ho raha hai lagta hai. Aakhir ishq karna kuch kuch seekh hi gaye tum mujhse. https://t.co/TomN2DGwRg"
182,2018-12-01 18:16:32,Late nite Dub play in London Mumbai 2 0 back on sets for patchwork My barn burned down and now I can see the moonlight Haiku amp follow instructions,Late nite Dub...play in London...Mumbai 2.0...back on sets for patchwork...’My barn burned down and now I can see the moonlight...’(Haiku) &amp; follow @aanandlrai instructions. https://t.co/cmBsU9TnP5
183,2018-12-01 11:01:54,Thank u sir Fadnavis for making me a part of Mumbai 2 0 This is our city and we will do everything with you to make it more creative competitive amp culturally inclusive Aamchi Magical Mumbai,"Thank u sir @Dev_Fadnavis for making me a part of Mumbai 2.0. This is our city and we will do everything with you to make it more creative, competitive &amp; culturally inclusive. Aamchi Magical Mumbai. https://t.co/2pOMcyeGX7"
184,2018-11-30 22:19:11,With my Juliet in London What a wonderful experience and exceptional performances by the whole cast Congratulations to the whole team,With my Juliet in London. What a wonderful experience and exceptional performances by the whole cast. Congratulations to the whole team. https://t.co/Y4dBdNiiqT
185,2018-11-30 17:55:35,se duniya hai kehti ke kabhi toh humse mil par mauka usse hi milta hai jo BauuaKiToli mein ho shaamil,".@BauuaSingh se duniya hai kehti ke kabhi toh humse mil,
par mauka usse hi milta hai jo #BauuaKiToli mein ho shaamil! https://t.co/nQW95gf8JY"
186,2018-11-29 07:24:39,Personally u r hardly a terror U r sweetness personified All the best for this ambitious project my friend Awesome,Personally u r hardly a terror!U r sweetness personified. All the best for this ambitious project my friend. Awesome https://t.co/tEIU7UN9A5
187,2018-11-27 18:06:53,Thank u Odisha for all the excitement love amp the grand beginning to the World Cup Hockey odisha it was lovely to meet u sir To all the players have a great tournament amp yes Chak De India,"Thank u Odisha for all the excitement, love &amp; the grand beginning to the World Cup Hockey. @naveen_odisha it was lovely to meet u sir. To all the players have a great tournament....&amp; yes..Chak De India! https://t.co/bQ2BajiG7O"
188,2018-11-27 07:23:57,On our family list of Fortunate she is the most powerful,On our family list of ‘Fortunate’ she is the most powerful! https://t.co/XWi5m1aFzg
189,2018-11-25 13:01:55,RT OnLoop the mesmerizing love ballad MereNaamTu from Zero Download for free and Listen on Repeat AbhayJodh,"RT @AmazonMusicIN: #OnLoop the mesmerizing love ballad #MereNaamTu from #Zero 
Download for free and Listen on Repeat 💞

@iamsrk #AbhayJodh…"
190,2018-11-25 08:33:07,Be strong and I am not the reason for ur triumph over obstacles You are,Be strong and I am not the reason for ur triumph over obstacles. You are!  https://t.co/vkW0GOvtwb
191,2018-11-25 07:58:25,Kya baat hai Very well done Thank u,Kya baat hai. Very well done. Thank u https://t.co/bIZDBPjSln
192,2018-11-24 15:01:46,Very sweet thank u Too much kissing though,Very sweet.thank u. Too much kissing though!!!  https://t.co/dKjEXcaFZc
193,2018-11-24 12:00:43,Really nice thank u,Really nice thank u https://t.co/0bgkLB3K4Z
194,2018-11-23 09:28:46,RT MereNaamTu full audio out on com http,"RT @RedChilliesEnt: #MereNaamTu, full audio out on:

@iTunes: https://t.co/eUhoLKkPYV 

@Hungama_com: https://t.co/4JdOtYe2LG

@gaana: http…"
195,2018-11-23 09:28:43,RT MereNaamTu full audio out on,"RT @RedChilliesEnt: #MereNaamTu, full audio out on:

@JioMusicHD: https://t.co/J99iM4Oas5

@AppleMusic: https://t.co/QJUy09bYft

@GooglePla…"
196,2018-11-23 06:39:12,Kya baat hai bhai Ye thoda sa bad hai thoda sa mad hai par apni lady ke liye ekdum best lad hai Zara iss par bhi nazar daal lo Aafia yeh itna bura bhi nahi hai MereNaamTu Kamil,"Kya baat hai @BauuaSingh bhai! Ye thoda sa bad hai, thoda sa mad hai, par apni lady ke liye ekdum best lad hai! Zara iss par bhi nazar daal lo Aafia, @AnushkaSharma yeh itna bura bhi nahi hai. #MereNaamTu https://t.co/K5FvuDKFMf 
@aanandlrai @AjayAtulOnline @Irshad_Kamil @TSeries https://t.co/c82A7XTPkn"
197,2018-11-23 06:27:05,Bhai din toh bata diya tha gaane ka time kab bataoge I am in England getting restless Gaana drop kar do yaar please Abhi,Bhai @BauuaSingh din toh bata diya tha gaane ka...time kab bataoge?I am in England...getting restless. Gaana drop kar do yaar please. Abhi!!
198,2018-11-22 11:31:01,Bauua ka pyaar hai Aafia ussi ke naam hai MereNaamTu out tomorrow KatrinaKaif,"Bauua ka pyaar hai, Aafia ussi ke naam hai. #MereNaamTu out tomorrow.

@AnushkaSharma #KatrinaKaif @aanandlrai @RedChilliesEnt @cypplOfficial https://t.co/u0CqieDqAQ"
199,2018-11-21 17:05:02,RT Ab se theek ek mahina reh gaya hai inki dukaan ke bane meethe ko aap ki zubaan tak pahunchne mein 21st December Zero r,"RT @BauuaSingh: Ab se theek ek mahina reh gaya hai inki dukaan ke bane meethe ko, aap ki zubaan tak pahunchne mein :) 
21st December Zero r…"
