,tweet
195,"Democratic debate highlight:
I hate Trump, free everything, l speak Spanish and finally, l really hate Trump!"
196,"The debates are a good time to start practicing for the day when Trump will be irrelevant. His tweets tonight are unimportant in the face of 10 smart men and women discussing real issues, policy &amp; the future. I'm suddenly feeling optimistic!"
197,"This is your daily reminder that Barack Obama and Joe Biden sent Iran 1.8 BILLION dollars in cash without congressional approval

Their appeasement led to Iran’s aggression

RT if you’re thankful President Trump is now handling Iran and NOT a President Biden!"
198,"Trump is responsible for these deaths. 
https://t.co/UZirFjh3fm"
199,A Trump rally has broken out outside the #DemDebate in Miami. https://t.co/sPdQ29uzOM
200,Trump refusing to answer Chip Reid ⁦@CBSNews⁩ and myself as we ask him about manufacturing a Border Crisis. ⁦@realDonaldTrump⁩ https://t.co/Dkq3JDE2t6
201,My favorite moment of the night was @EWarren revealing that she doesn’t just have a plan to beat Trump and make our government work for the people. She also has a plan to deal with Mitch McConnell. #DemDebate #YesWePlan https://t.co/jnUD1fah2Q
202,None of them are any good. TRUMP 2020 https://t.co/JHreLvjAxo
203,The biggest threat to the security of the United States is Donald Trump. #JayDebates #DemDebate
204,"Enthusiastic Latinos For Trump, in Miami Tell ⁦@VP⁩ Pence to “Build The Wall!” 🇺🇸
“Hispanics support President Trump because they want more law and order in their lives.”
Don’t we all!? #LatinosForTrump #4MoreYears #KAG #WalkAwayFromDemocrats  https://t.co/2D7LzX0Kja"
205,"Honestly, do we really need @DonnyDeutsch the voice of doom raising up the lump of lard called Trump and saying no one in this debate could beat him. I do not agree, but even if he feels that way he should keep it to himself or go get a job at Fox."
206,"""The biggest national security threat is Donald Trump.""

-- Jay Inslee

#DemDebate"
207,This image is gut-wrenching. The cruelty we're seeing at our border is unconscionable. History will judge how we respond to the Trump Administration’s treatment of immigrant families &amp; children—we can’t be silent. This isn't who we are. This is not America.https://t.co/ZeMBmwUHxU
208,@MollyJongFast Trump knows shits about to get real.
209,@Beckstle @MSNBC If that's what they do again a lot more dems will stay home and trump will win by an even larger margin. #bidensgottago
210,@Eternal_Angl0 @WilliamVenomous she'll cave just like trump did. trust no politician
211,"Biggest winner of tonight’s #DemDebate?

President Donald J Trump"
212,"Activists Raise $13,000 to Bring ‘Baby Trump’ Balloon to DC For President Trump’s Fourth of July Address.

LOL!  

Popped in ... 4....3....2...."
213,President Trump has nothing to worry about with these candidates. #DemDebate #MAGA https://t.co/7Z6iOubDBA
