,tweet
45,#Trump tweeted that tonight’s #DemocraticDebate was boring. As if we aren’t aware that’s how he feels about anything he can’t eat or fuck.
46,Julian Castro is on a mission to take away one of President Trump's harshest weapons against immigrants — and he wants every 2020 candidate to get behind him. #DemDebate https://t.co/QmkNTlURlm
47,"Trump to reporter: What I say to Putin at G20 is none of your business.

This man is a dictator.
This man is a dictator.
This man is a dictator.
This man is a dictator.
This man is a dictator.

https://t.co/X2ZddkCtYL"
48,"1. Good debate 
2. Lots of substance 
3. My unscientific twitter says best performers were Warren, Castro, Booker
4. Science says worst performer was NBC sound team
5. They are all better than Donald J Trump 
6. Buenas noches"
49,"I just stayed up way past my bedtime to watch the full airing of  #TheInvestigation, a riveting, devastating presentation of Vol II of #MuellerReport outlining 10 instances of obstruction of justice by #POTUS #Trump. Well-worth the 1 hr, 15 min investment.
https://t.co/YGPLtryGRn"
50,U.S. women's soccer star Ali Krieger says Trump is angered by women he “cannot control or grope.” Truth.
51,"@usminority What I found weird was that they talked about daca and immigration and what they would do. Funny, they can vote on something bipartisan now but won’t!! They cannot compete with President Trump."
52,"1. Good debate 
2. Lots of substance 
3. My unscientific twitter says best performers were Warren, Castro, Booker
4. Science says worst performer was NBC sound team
5. They are all better than Donald J Trump 
6. Buenas noches"
53,"Thanks @lawrence Donny Deutsch w/ this take, Democrats need a bully to take on Trump. Call him out! No, we dont. What more could anyone say? He's a disaster. Ok, @DonnyDeutsch, now what? #2020Election is about changing the path we're on. That's issues. Not who wins the MMA match."
54,"@MSNBC Post Debate analysis peoples that need mor Trump mentions in the #DemDebate ,shut up!  We need less Trump mentions in the world not more!  Dems did just fine ignoring his ass.

#DemocraticDebate 
#MyThoughts"
55,"1. Good debate 
2. Lots of substance 
3. My unscientific twitter says best performers were Warren, Castro, Booker
4. Science says worst performer was NBC sound team
5. They are all better than Donald J Trump 
6. Buenas noches"
56,Did Barr prohibit you from going further in investigations of Trump &amp; his kids? https://t.co/eNrglUPTn0
57,"Trump, Aviary Issue Statements After Incident: Eric Trump, the son of President Donald Trump, has declined to press charges against a waitress who allegedly spit on him at a Chicago restaurant on Wednesday… https://t.co/lk5j2zASUJ #ImpeachTrump #ImpeachKavanaugh #TheResistance https://t.co/b3GpHYwso3"
58,"Biggest winner of tonight’s #DemDebate?

President Donald J Trump"
59,@TheRealOJ32 OJ nobody you watching will beat Trump that's a given
60,Donald Trump. Hands down. https://t.co/FxJQeKeXrd
61,"Who wants to play a game?

Each time a Democrat offers something for free or blames Trump for something, take a drink.

Caution: One may suffer alcohol poisoning within the first ten minutes of the debate. 🍻

#DemDebate"
62,It’s clear everyone at this debate would make a better president than Trump. #DemDebate #DemocraticDebate
63,"Turns out Trump was right about committing a violent crime on 5th Ave. He rapes a woman at Bergdorf’s &amp; no one seems to care. Hopefully, starting July 17, when his mountain of Federal Crimes are made public, America will begin to care. #ImpeachmentInquiryNow"
64,"In case there was any doubt, Google employee says “A smaller company can not “prevent the next Trump situation”. THIS JS REALITY. We’ve gotta do something. https://t.co/i0emNtDmPj"
65,@DonaldJTrumpJr @SebGorka Trump is going to chew them up and spit them out!
66,Independent. I voted for Obama and I voted for Trump. https://t.co/GnKyKQrhVX
67,"If u were on Tim Ryan’s team I would be telling him that 1. His message about the working class is important, but is missing the mark bcz there’s been about 40 million post-trump election essays written about ‘working class white guy’"
68,Trump Executive Order on Health Care Prices Is a Good Start - Bloomberg https://t.co/tiDkOK90Mf
69,"After tonight’s #DemocraticDebate.......that whole Trump 3rd term thing is looking better and better. 

😁"
70,"1. Good debate 
2. Lots of substance 
3. My unscientific twitter says best performers were Warren, Castro, Booker
4. Science says worst performer was NBC sound team
5. They are all better than Donald J Trump 
6. Buenas noches"
71,Jesus Chuck Todd might be more anxious to suggest that Dems want to confiscate your guns than he is to help Trump pick which property he’ll put his presidential library on
72,@charliekirk11 @therichturpin Wrong. We hate Trump *because* we love America.
73,"Warren came in owning the night, answers on McConnell and guns were ok, but she was untouched &amp; still soaring.

Booker &amp; Castro, both really good. 

Klobuchar and Beto didn’t break out. Not bad nights though.

To be honest it was a good night, I’d vote for them ALL over Trump."
